Name,Station,Device ID,East [m],North [m],Up [m] (Fixed)
Power String Average,21,2,-308.19400973660976,495.89798598541415,0.0
Solar Panel 1a,21,101,-13.84198461771905,11.151922362539722,0.0
Solar Panel 1b,21,101,-14.830411865025953,10.580878893803629,0.0
Solar Panel 2a,21,102,-19.46531533558789,9.109244046616707,0.0
Solar Panel 2b,21,102,-20.506315357843903,8.647908270958396,0.0
DAQ Box Corner 1,21,100,-16.933875496975134,9.631580876821602,0.0
DAQ Box Corner 2,21,100,-18.656447463775635,10.057769971474272,0.0
