Name,Station,Device ID,East [m],North [m],Up [m] (Fixed)
Power String Average,11,2,-1572.8145682066504,729.3556092695051,0.0
Solar Panel 1a,11,101,13.35983685255087,-11.470978180658676,0.0
Solar Panel 1b,11,101,14.479522149542165,-11.338766021657191,0.0
Solar Panel 2a,11,102,20.69134963042461,-10.498380497781,0.0
Solar Panel 2b,11,102,21.80018908375837,-10.393170519301748,0.0
DAQ Box Corner 1,11,100,16.815380998478986,-9.501777618991923,0.0
DAQ Box Corner 2,11,100,18.693044012997007,-10.664729088538934,0.0
