Name,Station,Device ID,East [m],North [m],Up [m] (Fixed)
Power String Average,23,2,82.39055310737069,2949.993403369862,0.0
Solar Panel 1a,23,101,-14.533405757053629,13.0585411132015,0.0
Solar Panel 1b,23,101,-14.649063035625543,11.839994885020133,0.0
Solar Panel 2a,23,102,-18.93922446596082,10.620834603751518,0.0
Solar Panel 2b,23,102,-20.09554528523097,10.659641893931166,0.0
DAQ Box Corner 1,23,100,-15.84524169922622,11.41152208288804,0.0
DAQ Box Corner 2,23,100,-17.414273727997738,10.508986332746645,0.0
