Name,Station,Device ID,East [m],North [m],Up [m] (Fixed)
Power String Average,13,2,-1147.4926409373056,3124.0452184787846,0.0
Solar Panel 1a,13,101,-4.671755716169173,19.79709119958761,0.0
Solar Panel 1b,13,101,-3.5393303371733964,19.94035364728188,0.0
Solar Panel 2a,13,102,-1.115488465533872,23.144545959311472,0.0
Solar Panel 2b,13,102,-1.319671204387305,24.27477776208116,0.0
DAQ Box Corner 1,13,100,-1.6400042094310263,21.15349287326353,0.0
DAQ Box Corner 2,13,100,0.111257052461724,20.128883350185788,0.0
