station,run,fiber,att,freq_band,ch,snr,snr_sigma,hilbert_snr,hilbert_snr_sigma,zenith,zenith_sigma,vpos,vpos_sigma,vneg,vneg_sigma,integral,integral_sigma,vdiff,noise,noise_sigma,hilbert_noise,hilbert_noise_sigma
11,1789,0,0,"(175, 750)",0,98.35571431488522,4.004529477628394,947.2310760288668,35.07890159424253,85.85376217495377,0.16299151000267756,0.4225670506210701,0.01218293741587533,-0.45874156063175936,0.011697044637082082,3.2881988693847535,0.06826808977946601,-0.036174510010689276,0.004485452001562401,0.00015203616395280243,0.003475029265614176,0.00011858741974781113
11,1789,0,0,"(175, 750)",1,95.54035074631457,4.134713523477223,882.232063508575,35.723311800969604,87.55363167739915,0.16354753970833447,0.49908253487148224,0.015119090277817826,-0.5524102697794617,0.01641918375129854,3.7623797756315818,0.09450724230662509,-0.053327734907979485,0.005509212044481823,0.00019501476144086996,0.004269525082044777,0.00015378004002099716
11,1789,0,0,"(175, 750)",2,106.00318187692332,3.7315013636849304,927.5857974264951,32.47589943274899,89.17591253422694,0.16381189551844885,0.35336403713087167,0.01220580045663159,-0.3573450731284512,0.009595983052362068,2.4101908776094816,0.05182149315630178,-0.003981035997579541,0.003354973471059623,0.00010530397337071777,0.002600599301128524,8.198560347673204e-05
11,1789,0,0,"(175, 750)",3,99.25135317700504,4.415605135887029,914.5824054656453,37.02629603307604,90.86012575120867,0.16380886724747373,0.3720163398983581,0.012161603189829376,-0.3827732005434542,0.011143624911747998,2.694809796840717,0.06481800807136098,-0.010756860645096122,0.003806590559934422,0.0001251659609812433,0.0029496745312085028,9.76139449073533e-05
11,1789,0,0,"(175, 750)",8,5.598288128490222,0.8755841354854719,109.19788910965106,11.759626538344401,92.4610874147813,0.1635439455490202,0.025009842104808222,0.004396758128432172,-0.026057853906535776,0.004189390268688596,0.38560787931118945,0.04214106412059556,-0.0010480118017275539,0.004563909990774134,0.00015234184221449957,0.003533152880043432,0.0001185327098937705
11,1789,0,0,"(175, 750)",4,6.886998369542214,0.9297962178190552,106.80271349531341,9.721429581659045,94.02723792256957,0.16303964270672233,0.05444794611018621,0.007325112585030904,-0.05770772769990328,0.0084497180306662,0.6734512010955587,0.05794681990207197,-0.00325978158971707,0.008151935948772622,0.00027429847889399805,0.0063115040630614344,0.0002125576193976466
11,1789,0,0,"(175, 750)",5,43.62427810317938,2.331113117179675,508.6402286415707,29.757934000000937,112.60373023132053,0.14172324936018074,0.266923464529697,0.009340705422259232,-0.29318922141864845,0.01046162034879349,2.526937623608447,0.09221681541939881,-0.02626575688895144,0.006429833239852592,0.0002388025204149758,0.004976349182709762,0.00018182526144311947
11,1789,0,0,"(175, 750)",6,15.998262498660623,0.9881764479514549,225.8923536724567,13.520402040151879,134.65357248500698,0.11586493564852654,0.13392811254738438,0.009513770720877016,-0.1329931885396984,0.009883868201325113,1.4603249873840427,0.07369298054485357,0.0009349240076859666,0.008351985461889715,0.0002989379086436862,0.006472267329056287,0.0002279836357317466
11,1789,0,0,"(175, 750)",7,5.19471441270993,0.8013101449276219,99.88037363615,8.72984876113278,147.2294090485731,0.12539440058671925,0.017475362428133894,0.0029627400586405214,-0.021551750120441818,0.004322086250921406,0.2904204279774157,0.0267844360604518,-0.0040763876923079236,0.0037581779793467583,0.00011414914447886417,0.00290773766673027,8.561175828188257e-05
11,1789,0,0,"(175, 300)",0,66.03412128159397,2.857491341485844,1170.176583896544,50.83379357389065,85.85376217495377,0.16299151000267756,0.221023269150641,0.006006327463750488,-0.20731402687902908,0.0053171387246304805,2.9341838548079835,0.07950718560424844,0.01370924227161191,0.0032483408703983347,0.0001391038176979191,0.002511260031699232,0.00010813569590482489
11,1789,0,0,"(175, 300)",1,65.02984923657912,3.7701878751660307,1139.5480775659667,65.67895022302677,87.55363167739915,0.16354753970833447,0.25946545766175066,0.008914733680270041,-0.24262003202270896,0.007528154722110682,3.4004815090263802,0.10255108234101382,0.016845425639041706,0.0038714495031486502,0.0002238702087368195,0.0029926643209415914,0.00017353383865085253
11,1789,0,0,"(175, 300)",2,64.80435984667666,3.64082886815444,1143.5603093099937,66.12127885715049,89.17591253422694,0.16381189551844885,0.1627073906758241,0.004528709301585317,-0.15456923653667795,0.004143133686536695,2.1619815403790192,0.05013582488433771,0.008138154139146148,0.0024551040544202713,0.00014271285984038238,0.001896425400441336,0.00011112956627380917
11,1789,0,0,"(175, 300)",3,65.00434190339715,2.6805285051288323,1151.4267700511837,51.30243041538246,90.86012575120867,0.16380886724747373,0.1868152357841612,0.005570964109366911,-0.17478326932164862,0.005795148331470227,2.474418313826744,0.08189802887190413,0.012031966462512589,0.0027852278507025535,0.00012495281880980135,0.002152182426311132,9.777028335243882e-05
11,1789,0,0,"(175, 300)",8,3.4374339916695216,0.3514695987823352,81.51973966411441,13.984282149932271,92.4610874147813,0.1635439455490202,0.007199958917036223,0.0008459864311606402,-0.007148028074076511,0.0006776734130957508,0.13164138818279522,0.02125480316099204,5.193084295971196e-05,0.002091165063045998,0.00012605429601807318,0.001620150960734682,9.884354684022389e-05
11,1789,0,0,"(175, 300)",4,3.5297652188982886,0.395149000446927,86.82267811655551,17.399417813116674,94.02723792256957,0.16303964270672233,0.013151580063748444,0.0016576838975458628,-0.013139245870299111,0.0017676327987755432,0.24988039156706188,0.051254762944968335,1.2334193449332204e-05,0.0037279569634434693,0.00027605462432369693,0.002883462837155464,0.00021277383978541103
11,1789,0,0,"(175, 300)",5,50.86546335900013,3.823950618930938,835.7690083593786,63.14586946540358,112.60373023132053,0.14172324936018074,0.19849104589106076,0.007560607085363889,-0.1975954418990113,0.007737280017315744,2.519309949935506,0.09970369093295374,0.0008956039920494652,0.003909602330009082,0.0002502149149380328,0.0030265585296487697,0.00019227405873297094
11,1789,0,0,"(175, 300)",6,21.72641854280885,1.8278435761412486,371.9226400053891,34.073872471948214,134.65357248500698,0.11586493564852654,0.10298663924841463,0.0049540129780551645,-0.09767314097091002,0.005475734427679186,1.3295021879755702,0.07610292843018875,0.0053134982775046025,0.004639896740284922,0.0003225727554080237,0.003593068348122304,0.00025054424061965783
11,1789,0,0,"(175, 300)",7,6.351340434179162,0.9759625993556071,136.1805899218737,18.931572241204428,147.2294090485731,0.12539440058671925,0.013467280302148357,0.0022398924638326856,-0.013440956848385834,0.0022408355600113533,0.22317864046048047,0.03144532114767826,2.632345376252232e-05,0.002117948086162684,0.00010478301307669508,0.0016404480844082023,8.129212025688363e-05
11,1789,0,0,"(300, 425)",0,64.29010363570204,3.309048543906157,1072.2517620126725,57.23420303126594,85.85376217495377,0.16299151000267756,0.21079797755381688,0.0054764347303471695,-0.21775554941600792,0.008059304853439106,2.7686779668630734,0.06210184623989003,-0.0069575718621910365,0.0033409534891046954,0.00017807902466008464,0.0025888193992277815,0.00013790881448425747
11,1789,0,0,"(300, 425)",1,66.82751861198021,3.915928261280812,1117.3543590297318,65.315183403172,87.55363167739915,0.16354753970833447,0.2662622321853439,0.008292186532198752,-0.2656617844195562,0.008512498354953076,3.444080499188686,0.09062836845987034,0.000600447765787715,0.00399076459913058,0.00020811174497927968,0.003090788201375282,0.00016171330453233494
11,1789,0,0,"(300, 425)",2,66.61368474699958,2.7518156952677497,1087.8586549716165,44.86736991178939,89.17591253422694,0.16381189551844885,0.17134147047886322,0.004663991735664645,-0.17421235673989308,0.004881071630163144,2.186560282104319,0.04449272541768398,-0.0028708862610298536,0.002597995892049628,0.00011999824574190846,0.002013393870285109,9.318705354139159e-05
11,1789,0,0,"(300, 425)",3,68.47424886820971,3.027134250903818,1137.7047472701868,49.11689542553904,90.86012575120867,0.16380886724747373,0.19600004594834916,0.00565413430653796,-0.19466723109160794,0.005346402571305054,2.5140532394745754,0.05400534391632901,0.0013328148567412212,0.0028570422913845976,0.00011592157273593067,0.0022131316980975404,8.978623340361e-05
11,1789,0,0,"(300, 425)",8,3.707217506622527,0.4990913629512655,95.16814414956472,18.005824356535847,92.4610874147813,0.1635439455490202,0.010292376384136263,0.0014748815791906689,-0.010294857455693956,0.0015569118752511994,0.20476871035780514,0.04104371372929639,-2.4810715576924214e-06,0.002778114316730416,0.00019430297202997256,0.002152100399776171,0.0001518672032103231
11,1789,0,0,"(300, 425)",4,5.083885204677495,1.1860309004044751,109.8150624210773,23.54847080579936,94.02723792256957,0.16303964270672233,0.02452289155347029,0.005494246371828194,-0.024427331171969435,0.005395405238620957,0.40913784153507543,0.0824328731028902,9.556038150085322e-05,0.00483327749067621,0.00029520825210279067,0.003741940047958063,0.00022919442454085362
11,1789,0,0,"(300, 425)",5,25.662508163136945,2.005855716954778,464.048431815846,33.67601279827107,112.60373023132053,0.14172324936018074,0.09886687206562443,0.005563565947890415,-0.09733527519657083,0.0045839967087409166,1.374149095755172,0.06659383547332454,0.001531596869053603,0.003835635850070023,0.00021267613701019087,0.0029701489362914976,0.00016385619342670362
