### in-situ pulsing run information
### Information which in-situ pulsers were turned on. Inserted all runs taken before 2024.
### information collected from the run configuration files
station,run,quality_check_passed,pulser
22,1897,True,fiber0
22,1898,True,fiber0
22,1899,True,fiber0
22,1900,True,fiber0
22,1901,True,fiber0
22,1902,True,fiber0
22,1903,True,fiber0
22,1904,True,fiber0
22,1905,True,fiber0
22,1906,True,fiber0
22,1907,True,fiber1
22,1908,True,fiber1
22,1909,True,fiber1
22,1910,True,fiber1
22,1911,True,fiber1
22,1912,True,fiber1
22,1913,True,fiber1
22,1914,True,fiber1
22,1915,True,fiber1
22,1916,True,fiber1
22,1917,True,fiber1
22,1918,True,fiber1
22,1919,True,fiber1
22,1920,True,fiber1
22,1921,True,fiber1
22,1922,True,fiber1
22,1923,True,fiber1
22,1924,True,fiber1
22,1925,True,fiber1
22,1926,True,fiber1
22,1927,True,fiber1
22,1928,True,fiber1
22,1929,True,fiber1
22,1930,True,fiber1
22,1931,True,fiber1
22,1932,True,fiber1
22,1933,True,fiber1
22,1934,True,fiber1
22,1935,True,fiber1
22,1936,True,fiber1
22,1937,True,fiber1
22,1938,True,fiber1
22,1939,True,fiber1
22,1940,True,fiber1
22,1941,True,fiber1
22,1942,True,fiber1
22,1943,True,fiber1
22,1944,True,fiber1
22,1945,True,fiber1
22,1946,True,fiber1
22,1947,True,fiber1
22,1948,True,fiber1
22,1949,True,fiber1
22,1950,True,fiber1
22,1951,True,fiber1
22,1952,True,fiber1
22,1953,True,fiber1
22,1954,True,fiber1
22,1955,True,fiber1
22,1956,True,fiber1
22,1957,True,fiber1
22,1958,True,fiber1
22,1959,True,fiber1
22,1960,True,fiber1
22,1961,True,fiber1
22,1962,True,fiber1
22,1963,True,fiber1
22,1964,True,fiber1
22,1965,True,fiber1
22,1966,True,fiber1
22,1967,True,fiber1
22,1968,True,fiber1
22,1969,True,fiber1
22,1970,True,fiber1
22,1971,True,fiber1
22,1972,True,fiber1
22,1973,True,fiber1
22,1974,True,fiber1
22,1975,True,fiber1
22,1976,True,fiber1
22,1977,True,fiber1
22,1978,True,fiber1
22,1979,True,fiber1
22,1980,True,fiber1
22,1981,True,fiber1
22,1982,True,fiber1
22,1983,True,fiber1
22,1984,True,fiber1
22,1985,True,fiber1
22,1986,True,fiber1
22,1987,True,fiber1
22,1988,True,fiber1
22,1989,True,fiber1
22,1990,True,fiber1
22,1991,True,fiber1
22,1992,True,fiber1
22,1993,True,fiber1
22,1994,True,fiber1
22,1995,True,fiber1
22,1996,True,fiber1
22,1997,True,fiber1
22,2057,True,fiber0
22,2058,True,fiber0
22,2059,True,fiber0
22,2060,True,fiber1
22,2070,True,fiber1
22,2071,True,fiber1
22,2072,True,fiber0
22,2073,True,fiber1
22,2074,True,fiber1
22,2075,True,fiber1
22,2076,True,fiber1
22,2077,True,fiber1
22,2078,True,fiber1
22,2079,True,fiber1
22,2080,True,fiber1
22,2081,True,fiber1
22,2082,True,fiber1
22,2083,True,fiber1
22,2084,True,fiber1
22,2085,True,fiber1
22,2086,True,fiber1
22,2087,True,fiber1
22,2088,True,fiber1
22,2089,True,fiber1
22,2090,True,fiber1
22,2091,True,fiber1
22,2093,True,fiber1
22,2129,True,fiber0
22,2130,True,fiber0
22,2131,True,fiber0
22,2132,True,fiber0
22,2133,True,fiber0
22,2134,True,fiber0
22,2135,True,fiber0
22,2136,True,fiber0
22,2137,True,fiber0
22,2138,True,fiber0
22,2139,True,fiber0
22,2140,True,fiber1
22,2141,True,fiber1
22,2142,True,fiber1
22,2143,True,fiber1
22,2144,True,fiber1
22,2145,True,fiber1
22,2146,True,fiber1
22,2147,True,fiber1
22,2148,True,fiber1
22,2149,True,fiber1
23,1000,True,fiber0
23,1001,True,fiber0
23,1002,True,fiber0
23,1040,True,fiber1
23,1042,True,fiber1
23,1043,True,fiber1
23,1036,True,fiber1
23,1037,True,fiber1
23,1038,True,fiber1
23,1039,True,fiber1
23,1041,True,fiber1
23,1044,True,fiber0
23,1045,True,fiber0
23,1046,True,fiber0
23,1047,True,fiber0
23,1048,True,fiber0
23,1100,True,fiber0
23,1101,True,fiber0
23,1102,True,fiber0
23,1103,True,fiber0
23,1104,True,fiber0
23,1105,True,fiber0
23,1106,True,fiber0
23,1107,True,fiber0
23,1108,True,fiber0
23,1109,True,fiber0
23,1110,True,fiber0
23,1111,True,fiber1
23,1112,True,fiber1
23,1113,True,fiber1
23,1114,True,fiber1
23,1115,True,fiber1
23,1116,True,fiber1
23,1117,True,fiber0
23,1118,True,fiber1
23,1119,True,fiber1
23,1120,True,fiber1
23,1121,True,fiber1
23,1142,True,fiber0
23,2215,True,fiber0
23,3400,True,fiber0
23,3401,True,fiber1
23,3921,True,fiber0
23,3922,True,fiber1
23,999,True,fiber0
24,1821,True,fiber0
24,1886,True,fiber0
24,2747,True,fiber1
24,2748,True,fiber0
24,871,True,fiber0
24,872,True,fiber0
24,873,True,fiber0
24,874,True,fiber0
24,875,True,fiber0
24,876,True,fiber0
24,877,True,fiber1
24,878,True,fiber1
24,879,True,fiber1
24,880,True,fiber1
24,881,True,fiber0
24,905,True,fiber1
24,906,True,fiber1
24,907,True,fiber1
24,908,True,fiber1
24,909,True,fiber0
24,910,True,fiber0
24,911,True,fiber0
24,912,True,fiber0
24,913,True,fiber1
24,914,True,fiber1
24,915,True,fiber1
