atten,pos_factor,neg_factor,hilbert_factor
0,1.0,1.0,1.0
5,1.0551365618457373,1.6529154090455196,1.5114271837732927
10,1.8200677529541003,2.939859899675026,2.6569322589796047
15,3.2497488045161322,5.316819179543586,4.758284527519091
20,5.816614511363001,9.663140792774607,8.485396387144334
