Name,Station,Device ID,East [m],North [m],Up [m] (Fixed)
Power String Center,23,2,82.44063879476539,2950.006464778589,0.0
Solar Panel 1a,23,101,-14.583491444448327,13.045479704474474,0.0
Solar Panel 1b,23,101,-14.699148723020244,11.826933476293108,0.0
Solar Panel 2a,23,102,-18.98931015335552,10.607773195024492,0.0
Solar Panel 2b,23,102,-20.145630972625668,10.64658048520414,0.0
DAQ Box Corner 1,23,100,-15.89532738662092,11.398460674161017,0.0
DAQ Box Corner 2,23,100,-17.464359415392437,10.49592492401962,0.0
