Name,Station,Device ID,East [m],North [m],Up [m] (Fixed)
Power String Center,13,2,-1147.5454033897645,3124.017150617912,0.0
Solar Panel 1a,13,101,-4.618993263710308,19.82515906046001,0.0
Solar Panel 1b,13,101,-3.486567884714532,19.96842150815428,0.0
Solar Panel 2a,13,102,-1.0627260130750074,23.17261382018387,0.0
Solar Panel 2b,13,102,-1.2669087519284403,24.302845622953555,0.0
DAQ Box Corner 1,13,100,-1.587241756972162,21.181560734135928,0.0
DAQ Box Corner 2,13,100,0.1640195049205886,20.156951211058185,0.0
