Name,Station,Device ID,East [m],North [m],Up [m] (Fixed)
Power String Center,21,2,-308.1594421630137,495.8927331292518,0.0
Solar Panel 1a,21,101,-13.876552191315056,11.157175218702092,0.0
Solar Panel 1b,21,101,-14.864979438621958,10.586131749966,0.0
Solar Panel 2a,21,102,-19.499882909183896,9.11449690277908,0.0
Solar Panel 2b,21,102,-20.54088293143991,8.653161127120768,0.0
DAQ Box Corner 1,21,100,-16.96844307057114,9.636833732983972,0.0
DAQ Box Corner 2,21,100,-18.69101503737164,10.063022827636644,0.0
