Name,Station,Device ID,East [m],North [m],Up [m] (Fixed)
Power String Center,12,2,-1352.29865424247,1911.184265671588,0.0
Solar Panel 1a,12,101,2.27597449806558,19.830986826682874,0.0
Solar Panel 1b,12,101,3.946467712635013,20.24711525070802,0.0
Solar Panel 2a,12,102,-2.75729394650034,20.027994782253927,0.0
Solar Panel 2b,12,102,-4.341225993617172,20.57078961828529,0.0
DAQ Box Corner 1,12,100,-0.6096968024032776,21.137102758886385,0.0
DAQ Box Corner 2,12,100,0.8504497998039824,19.708090145556756,0.0
